fleet_vehicle_id,fleet_id,cycle_number,created_at,retired_at
9571912,83,14684,2023-07-20 19:41:25.0,
94016,92711,13593,2023-07-20 20:08:16.0,
117415,92667,13446,2023-07-20 20:12:18.0,
9121,16215,3273,2023-07-20 21:00:11.0,
11558,92746,14597,2023-07-20 21:10:26.0,
990051VOLPROD,92743,4344,2023-07-21 07:24:14.0,2023-07-21 10:01:04.0
990024VOLPROD,92743,4789,2023-07-21 09:16:16.0,2023-07-21 09:51:25.0
990024PROD,92743,4789,2023-07-21 10:35:39.0,2023-12-07 06:38:16.0
9122,16215,2513,2023-07-21 11:06:51.0,
Rental UP2515,92752,14905,2023-07-21 13:29:54.0,
11652,92746,14598,2023-07-21 14:01:07.0,
9100,16215,2429,2023-07-21 15:31:24.0,
10896,92746,14600,2023-07-21 17:27:18.0,
8575144 Rental,92662,13901,2023-07-21 18:24:49.0,
8271074,92667,14706,2023-07-21 18:59:56.0,
495230,92667,12123,2023-07-21 19:39:52.0,
9105,16215,2670,2023-07-21 20:51:19.0,
1491136,92666,12054,2023-07-21 21:20:36.0,
8271073,92667,14708,2023-07-21 21:52:22.0,
5181,92732,13917,2023-07-22 16:46:27.0,
9571957,92662,14714,2023-07-24 13:55:09.0,
9117,16215,4267,2023-07-24 16:43:33.0,
9571902,83,14731,2023-07-24 17:51:43.0,
63151,92746,14619,2023-07-24 18:07:20.0,
9119,16215,8664,2023-07-24 20:24:55.0,
453790,92667,13241,2023-07-25 13:10:40.0,
5678,5457,14441,2023-07-25 15:37:48.0,
9120,16215,5330,2023-07-25 16:13:06.0,
9571907,83,14700,2023-07-25 17:01:15.0,
11192,92746,14605,2023-07-25 17:33:57.0,
9123,16215,5637,2023-07-25 17:58:39.0,
1280,86427,15021,2023-07-25 19:07:08.0,
381,92701,13430,2023-07-25 21:59:49.0,
9126,16215,15096,2023-07-26 18:25:13.0,
9125,16215,8762,2023-07-26 18:32:44.0,
365,92701,13435,2023-07-26 21:57:26.0,
243236,35063,3636,2023-07-27 12:19:23.0,
243234,35063,3332,2023-07-27 12:51:16.0,
8575248 Mansfield ,92662,13916,2023-07-27 15:25:22.0,
9128,16215,8673,2023-07-27 19:03:48.0,
8574963 Spring Creek ,92662,12467,2023-07-27 21:02:57.0,
1281,86427,6294,2023-07-28 12:37:32.0,
9127,16215,8679,2023-07-28 13:37:17.0,
453784,92667,12256,2023-07-28 15:04:50.0,
